producto,tipo_producto,precio,fecha_observacion,cadena_comercial,establecimiento,direccion,colonia,cp,municipio,entidad
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-04-29,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL GIRASOLES,"RANCHO SAN LORENZO 6, ESQ. CALZADA DE LAS BOMBAS (INT.",GIRASOLES III,4920,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WALMART SUCURSAL PLAZA ORIENTE,"CANAL DE TEZONTLE 1520, ESQ EJE 5 OTE. ROJO GOMEZ",U.H. CUCHILLA DEL MORAL II,9319,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,56.0,2026-04-29,CHEDRAUI,CHEDRAUI SUCURSAL PLAZA AMERICA,"BENITO JUAREZ 117, ENTRE DIVISION DEL NORTE Y EUCALIPTO",EXHACIENDA DE COAPA,4850,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,59.0,2026-04-29,WAL-MART EXPRESS,WALMART EXPRESS SUCURSAL TAXQUEÑA,"CALZ. TAXQUEÑA 1752, ENTRE PASEO DE LOS JARDINES Y HERO",TAXQUEÑA,4280,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA SUCURSAL LOS ANGELES,"CALZ. ERMITA IZTAPALAPA 2001, ESQ. MARGARITAS",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL IZTAPALAPA (262),"ERMITA IZTAPALAPA 1863, ESQ. SAN LORENZO",LOS ANGELES,9830,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,57.0,2026-04-29,WAL-MART,WAL MART SUCURSAL MIRAMONTES,"ESCUELA NAVAL MILITAR 753, ESQ. CANAL DE MIRAMONTES",LOS CIPRESES,4830,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL TACUBAYA (257),"GOBERNADOR GENERAL JOSE MORAN 3, ENTRE GOBERNADOR VICEN",SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,50.0,2026-04-29,CENTRAL DE ABASTOS,CENTRAL DE ABASTO IZTAPALAPA (IZTAPALAPA),"PROL. EJE 6 SUR 520, ESQ. CANAL DE APATLACO",EJIDOS DEL MORAL,9030,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MERCADO SORIANA,MERCADO SORIANA SUCURSAL SAN LORENZO XALPA (986),"AV. SAN LORENZO 2171, ENTRE NAUTLA Y ESTRELLA",SAN JUAN XALPA,9850,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,"RIO CHURUBUSCO 1120, ESQ. APATLACO",IZTACALCO INFONAVIT,8900,Iztacalco,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,55.0,2026-04-29,BODEGA AURRERA,BODEGA AURRERA SUCURSAL IZTAPALAPA,"CALZ. ERMITA IZTAPALAPA 875, ENTRE TLAHUAC Y DIAGONA",SANTA ISABEL INDUSTRIAL,9820,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIXCOAC (250),"MIGUEL ANGEL BUONARROTI 170, ESQ. SAN ANTONIO",MIXCOAC,3910,Benito Juárez,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,MEGA SORIANA,MEGA SORIANA SUCURSAL COAPA,"PROLONGACION DIVISION DEL NORTE1555, ENTRE ESCUELA Y EJ",CHIMAL,14700,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,SORIANA SUCURSAL MIRAMONTES (300),"CANAL DE MIRAMONTES 2600, ENTRE CALZ. DE LA VIRGEN Y ES",EXHACIENDA COAPA,4830,Coyoacán,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,42.8,2026-04-29,HIPERMERCADO SORIANA,MEGA SORIANA SUCURSAL COAPA (TEC),"CALLE PUENTE 186, ESQ. PROLONGACIÓN",AMSA,14380,Tlalpan,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,60.0,2026-04-29,MERCADO PUBLICO,MERCADO LA PURISIMA,"LUIS HIDALGO MONROY 423, ESQ. QUETZAL",LEYES DE REFORMA 1A. SECCIÓN,9340,Iztapalapa,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,54.9,2026-04-30,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL CONSULADO (418),"RIO CONSULADO 2355, ESQ. CARLOS MARX",SIMON BOLIVAR,15410,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-04-30,MEGA SORIANA,MEGA SORIANA SUCURSAL LA VILLA (008),"PROL. CALZ- DE LOS MISTERIOS NO. 62, ESQ. CANTERA",GUADALUPE TEPEYAC,7840,Gustavo A. Madero,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,54.9,2026-04-30,CHEDRAUI,CHEDRAUI SUCURSAL ANFORA,"ANFORA 71, ESQ. EJE 1 NORTE",MADERO,15320,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,58.0,2026-04-30,WAL-MART,WALMART SUCURSAL AEROPUERTO,"CALZ. IGNACIO ZARAGOZA 58, ESQ. BLVD. PUERTO AEREO",FEDERAL,15700,Venustiano Carranza,Ciudad de México
"AGUACATE, S/M, 1 KG. HASS",AGUACATE,68.9,2026-04-30,HIPERMERCADO SORIANA,SORIANA HIPER SUCURSAL MIXCOAC (250),"MIGUEL ANGEL BUONARROTI 170, ESQ. SAN ANTONIO",MIXCOAC,3910,Benito Juárez,Ciudad de México
