Fecha,Presentacion,Precio Kg,centro_distribucion,anio,mes
05/01/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,1
08/01/2001,Caja de 20 kg.,11,Central de Abasto de Iztapalapa DF,2001,1
09/01/2001,Caja de 20 kg.,11,Central de Abasto de Iztapalapa DF,2001,1
10/01/2001,Caja de 20 kg.,11,Central de Abasto de Iztapalapa DF,2001,1
11/01/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,1
12/01/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,1
15/01/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,1
16/01/2001,Caja de 20 kg.,12.5,Central de Abasto de Iztapalapa DF,2001,1
17/01/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,1
18/01/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,1
19/01/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,1
22/01/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,1
23/01/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,1
24/01/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,1
25/01/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,1
26/01/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,1
29/01/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,1
30/01/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,1
01/02/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,2
02/02/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,2
06/02/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,2
07/02/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,2
08/02/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,2
09/02/2001,Caja de 20 kg.,11,Central de Abasto de Iztapalapa DF,2001,2
12/02/2001,Caja de 20 kg.,10.5,Central de Abasto de Iztapalapa DF,2001,2
13/02/2001,Caja de 20 kg.,10,Central de Abasto de Iztapalapa DF,2001,2
14/02/2001,Caja de 20 kg.,10,Central de Abasto de Iztapalapa DF,2001,2
15/02/2001,Caja de 20 kg.,10,Central de Abasto de Iztapalapa DF,2001,2
16/02/2001,Caja de 20 kg.,11,Central de Abasto de Iztapalapa DF,2001,2
19/02/2001,Caja de 20 kg.,10.5,Central de Abasto de Iztapalapa DF,2001,2
20/02/2001,Caja de 20 kg.,10.5,Central de Abasto de Iztapalapa DF,2001,2
21/02/2001,Caja de 20 kg.,10.5,Central de Abasto de Iztapalapa DF,2001,2
22/02/2001,Caja de 20 kg.,10.5,Central de Abasto de Iztapalapa DF,2001,2
23/02/2001,Caja de 20 kg.,10.5,Central de Abasto de Iztapalapa DF,2001,2
26/02/2001,Caja de 20 kg.,10,Central de Abasto de Iztapalapa DF,2001,2
27/02/2001,Caja de 20 kg.,10.5,Central de Abasto de Iztapalapa DF,2001,2
28/02/2001,Caja de 20 kg.,10.5,Central de Abasto de Iztapalapa DF,2001,2
01/03/2001,Caja de 20 kg.,10,Central de Abasto de Iztapalapa DF,2001,3
02/03/2001,Caja de 20 kg.,11,Central de Abasto de Iztapalapa DF,2001,3
05/03/2001,Caja de 20 kg.,12.5,Central de Abasto de Iztapalapa DF,2001,3
06/03/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,3
07/03/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,3
08/03/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,3
09/03/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,3
12/03/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,3
13/03/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,3
14/03/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,3
15/03/2001,Caja de 20 kg.,11,Central de Abasto de Iztapalapa DF,2001,3
16/03/2001,Caja de 20 kg.,11,Central de Abasto de Iztapalapa DF,2001,3
19/03/2001,Caja de 20 kg.,11,Central de Abasto de Iztapalapa DF,2001,3
20/03/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,3
22/03/2001,Caja de 20 kg.,12,Central de Abasto de Iztapalapa DF,2001,3
23/03/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,3
26/03/2001,Caja de 20 kg.,11,Central de Abasto de Iztapalapa DF,2001,3
27/03/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,3
28/03/2001,Caja de 20 kg.,11.5,Central de Abasto de Iztapalapa DF,2001,3
