Fecha,Presentacion,Origen,Destino,Transporte,Volumen ton
2001-01-15,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,7.0
2001-01-16,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Trailer,1365.0
2001-01-17,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Rabón,3.0
2001-01-17,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,7.0
2001-01-17,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,8.0
2001-01-23,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Trailer,1875.0
2001-01-26,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,16.0
2001-01-30,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Trailer,1830.0
2001-01-31,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,80.0
2001-01-31,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,110.0
2001-02-02,Caja de 20 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,12.0
2001-02-02,Caja de 18 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,Torton,27.0
2001-02-06,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Trailer,1875.0
2001-02-09,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,19.0
2001-02-09,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,28.0
2001-02-13,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Trailer,1650.0
2001-02-15,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,11.0
2001-02-20,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Trailer,1815.0
2001-02-23,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,24.0
2001-02-27,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1725.0
2001-03-06,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1725.0
2001-03-07,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,24.0
2001-03-07,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,11.0
2001-03-08,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,18.0
2001-03-08,Caja de 24 kg.,Distrito Federal,México: Central de Abasto de Ecatepec,Redilas,7.0
2001-03-13,Caja de 20 kg.,Michoacán,Jalisco: Mercado de Abasto de Guadalajara,Torton,1605.0
2001-03-14,Caja de 24 kg.,Michoacán,México: Central de Abasto de Ecatepec,Rabón,14.0
